"Tag","Controller","Method","Path","Action","Auth","Permission"
"Academic","AcademicController","GET","/api/v1/academic/classrooms","GetClassRooms","JWT",""
"Academic","AcademicController","POST","/api/v1/academic/classrooms","CreateClassRoom","JWT",""
"Academic","AcademicController","GET","/api/v1/academic/courses","GetCourses","JWT",""
"Academic","AcademicController","POST","/api/v1/academic/courses","CreateCourse","JWT",""
"Academic","AcademicController","DELETE","/api/v1/academic/courses/{courseId:guid}","DeleteCourse","JWT",""
"Academic","AcademicController","PUT","/api/v1/academic/courses/{courseId:guid}","UpdateCourse","JWT",""
"Academic","AcademicController","GET","/api/v1/academic/enrollments","GetEnrollments","JWT",""
"Academic","AcademicController","POST","/api/v1/academic/enrollments","CreateEnrollment","JWT",""
"Academic","AcademicController","GET","/api/v1/academic/sections","GetSections","JWT",""
"Accounting","AccountingController","GET","/api/v1/accounting/expense-balances","GetExpenseBalances","JWT",""
"Accounting","AccountingController","GET","/api/v1/accounting/expense-payments","SearchExpensePayments","JWT",""
"Accounting","AccountingController","POST","/api/v1/accounting/expense-payments","CreateExpensePayment","JWT",""
"Accounting","AccountingController","GET","/api/v1/accounting/expense-payments/{id:guid}","GetExpensePayment","JWT",""
"Accounting","AccountingController","GET","/api/v1/accounting/expense-requests","SearchExpenseRequests","JWT",""
"Accounting","AccountingController","POST","/api/v1/accounting/expense-requests","CreateExpenseRequest","JWT",""
"Accounting","AccountingController","POST","/api/v1/accounting/expense-requests/{id:guid}/approve","ApproveExpenseRequest","JWT",""
"Accounting","AccountingController","POST","/api/v1/accounting/expense-requests/{id:guid}/submit","SubmitExpenseRequest","JWT",""
"Admin","AdminController","POST","/api/v1/admin/reset-enrollment-data","ResetEnrollmentData","JWT",""
"Admin","AdminController","GET","/api/v1/admin/roles","GetRoles","JWT",""
"Admin","AdminController","GET","/api/v1/admin/teachers","GetTeachers","JWT",""
"Admin","AdminController","POST","/api/v1/admin/teachers","CreateTeacher","JWT",""
"Admin","AdminController","PUT","/api/v1/admin/teachers/{id:guid}","UpdateTeacher","JWT",""
"Admin","AdminController","GET","/api/v1/admin/users","GetUsers","JWT",""
"Admin","AdminController","POST","/api/v1/admin/users","CreateUser","JWT",""
"Admin","AdminController","PUT","/api/v1/admin/users/{id:guid}","UpdateUser","JWT",""
"Admin","AdminController","PUT","/api/v1/admin/users/{id:guid}/roles","SetUserRoles","JWT",""
"Auth","AuthController","POST","/api/v1/auth/change-password","ChangePassword","JWT",""
"Auth","AuthController","POST","/api/v1/auth/login","Login","JWT",""
"Auth","AuthController","POST","/api/v1/auth/logout","Logout","Anonymous",""
"Auth","AuthController","GET","/api/v1/auth/me","GetProfile","JWT",""
"Auth","AuthController","POST","/api/v1/auth/refresh","Refresh","Anonymous",""
"CardTemplates","CardTemplatesController","GET","/api/v1/card-templates","List","JWT",""
"CardTemplates","CardTemplatesController","POST","/api/v1/card-templates","Create","JWT",""
"CardTemplates","CardTemplatesController","DELETE","/api/v1/card-templates/{id:guid}","Delete","JWT",""
"CardTemplates","CardTemplatesController","GET","/api/v1/card-templates/{id:guid}","Get","JWT",""
"CardTemplates","CardTemplatesController","PUT","/api/v1/card-templates/{id:guid}","Update","JWT",""
"CardTemplates","CardTemplatesController","POST","/api/v1/card-templates/preview","Preview","JWT",""
"CloudSync","CloudSyncController","GET","/api/v1/cloud-sync/status","GetStatus","JWT",""
"CloudSync","CloudSyncController","POST","/api/v1/cloud-sync/synchronize","SynchronizeNow","JWT",""
"CourseConfiguration","CourseConfigurationController","GET","/api/v1/course-configuration","GetConfiguration","JWT",""
"CourseConfiguration","CourseConfigurationController","PUT","/api/v1/course-configuration","SaveConfiguration","JWT",""
"CourseConfiguration","CourseConfigurationController","GET","/api/v1/course-configuration/available-courses","GetAvailableCourses","JWT",""
"CourseConfiguration","CourseConfigurationController","GET","/api/v1/course-configuration/branches","GetBranches","JWT",""
"CourseConfiguration","CourseConfigurationController","POST","/api/v1/course-configuration/courses","CreateCatalogCourse","JWT",""
"Currencies","CurrenciesController","GET","/api/v1/currencies","Search","JWT",""
"Currencies","CurrenciesController","POST","/api/v1/currencies","Create","JWT",""
"Currencies","CurrenciesController","PUT","/api/v1/currencies/{id:guid}","Update","JWT",""
"Currencies","CurrenciesController","POST","/api/v1/currencies/{id:guid}/activate","Activate","JWT",""
"Currencies","CurrenciesController","POST","/api/v1/currencies/{id:guid}/deactivate","Deactivate","JWT",""
"Currencies","CurrenciesController","GET","/api/v1/currencies/main","GetMain","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/activities","GetActivities","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/alerts","GetAlerts","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/debtors","GetDebtors","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/distribution","GetDistribution","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/enrolled-students","GetEnrolledStudents","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/expenses","GetExpenses","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/fund-movements","GetFundMovements","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/overview","GetOverview","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/payments","GetPayments","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/receivables-breakdown","GetReceivablesBreakdown","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/repartition","GetRepartition","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/revenue","GetRevenue","JWT",""
"Dashboard","DashboardController","GET","/api/v1/dashboard/summary","GetSummary","JWT",""
"DocumentBranding","DocumentBrandingController","GET","/api/v1/document-branding/configuration","GetConfiguration","JWT",""
"DocumentBranding","DocumentBrandingController","PUT","/api/v1/document-branding/footer","SaveFooter","JWT",""
"DocumentBranding","DocumentBrandingController","POST","/api/v1/document-branding/headers","CreateHeader","JWT",""
"DocumentBranding","DocumentBrandingController","DELETE","/api/v1/document-branding/headers/{headerId:guid}","DeleteHeader","JWT",""
"DocumentBranding","DocumentBrandingController","PUT","/api/v1/document-branding/headers/{headerId:guid}","UpdateHeader","JWT",""
"DocumentBranding","DocumentBrandingController","POST","/api/v1/document-branding/logos","CreateLogo","JWT",""
"DocumentBranding","DocumentBrandingController","DELETE","/api/v1/document-branding/logos/{logoId:guid}","DeleteLogo","JWT",""
"DocumentBranding","DocumentBrandingController","PUT","/api/v1/document-branding/logos/{logoId:guid}","UpdateLogo","JWT",""
"DocumentBranding","DocumentBrandingController","POST","/api/v1/document-branding/logos/{logoId:guid}/set-primary","SetPrimaryLogo","JWT",""
"DocumentBranding","DocumentBrandingController","GET","/api/v1/document-branding/logos/primary/file","GetPrimaryLogoFile","JWT",""
"DocumentBranding","DocumentBrandingController","GET","/api/v1/document-branding/lookups","GetLookups","JWT",""
"DocumentBranding","DocumentBrandingController","GET","/api/v1/document-branding/print/{documentType}","ResolvePrintBranding","JWT",""
"DocumentBranding","DocumentBrandingController","POST","/api/v1/document-branding/signatures","CreateSignature","JWT",""
"DocumentBranding","DocumentBrandingController","DELETE","/api/v1/document-branding/signatures/{signatureId:guid}","DeleteSignature","JWT",""
"DocumentBranding","DocumentBrandingController","PUT","/api/v1/document-branding/signatures/{signatureId:guid}","UpdateSignature","JWT",""
"DocumentBranding","DocumentBrandingController","POST","/api/v1/document-branding/stamps","CreateStamp","JWT",""
"DocumentBranding","DocumentBrandingController","DELETE","/api/v1/document-branding/stamps/{stampId:guid}","DeleteStamp","JWT",""
"DocumentBranding","DocumentBrandingController","PUT","/api/v1/document-branding/stamps/{stampId:guid}","UpdateStamp","JWT",""
"Documents","DocumentsController","GET","/api/v1/documents","List","JWT",""
"Documents","DocumentsController","POST","/api/v1/documents","Upload","JWT",""
"Documents","DocumentsController","DELETE","/api/v1/documents/{id:guid}","Delete","JWT",""
"Documents","DocumentsController","GET","/api/v1/documents/{id:guid}/download","Download","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/class-capacity","GetClassCapacity","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/complete","Complete","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/fees","CalculateFees","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/fiche-inscription/{enrollmentId:guid}","GetEnrollmentForm","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/prerequisites","GetPrerequisites","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/registration-number","GenerateRegistrationNumber","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/search-guardians","SearchGuardians","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/search-students","SearchStudents","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/store-file","StoreEnrollmentFile","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/structure-options","GetStructureOptions","JWT",""
"EnrollmentWizard","EnrollmentWizardController","PUT","/api/v1/enrollment-wizard/student-dossier/{enrollmentId:guid}","UpdateStudentDossier","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/student-dossier/{enrollmentId:guid}/validate","ValidateStudentDossierUpdate","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/student-dossier/{studentId:guid}","GetStudentDossierForEdit","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/validate","Validate","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates","Search","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates","Create","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates/{id:guid}","GetById","JWT",""
"ExchangeRates","ExchangeRatesController","PUT","/api/v1/exchange-rates/{id:guid}","Update","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates/{id:guid}/activate","Activate","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates/{id:guid}/deactivate","Deactivate","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates/active","GetActive","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates/convert","Convert","JWT",""
