PASS | Doc — PHASE4_PERSONAS.md | personas
PASS | Doc — PHASE4_PLANNED_PERMISSIONS.md | planned
PASS | Doc — PHASE4_MIGRATION_CHECKLIST_TEMPLATE.md | checklist
PASS | Doc — PHASE4_LOT0_VALIDATION.md | lot0 report
PASS | Doc — PHASE4_LOT1_VALIDATION.md | lot1 report
PASS | Doc — PHASE4_LOT2_VALIDATION.md | lot2 report
PASS | Doc — PHASE4_LOT3_VALIDATION.md | lot3 report
PASS | Doc — PHASE4_LOT4_VALIDATION.md | lot4 report
PASS | Doc — PHASE4_LOT5_VALIDATION.md | lot5 report
PASS | Doc — PHASE4_LOT6_VALIDATION.md | lot6 report
PASS | Doc — PHASE4_LOT7_VALIDATION.md | lot7 report
PASS | Doc — PHASE4_VALIDATION_REPORT.md | phase4 closure
PASS | Doc — SECURITY_ENGINE_ARCHITECTURE.md | architecture ref
PASS | Desktop — HasPermission positif | grades.create
PASS | Desktop — HasPermission négatif | security.users.manage
PASS | Desktop — HasPermission ignore rôle ADMIN sans code | pas de fallback rôle
PASS | Desktop — SessionPermissions.Can | Can
PASS | Desktop — IAuthSessionService.HasPermission déclaré | interface
PASS | Desktop — SessionPermissions.cs présent | d:\Mes Projet\ERP_Administration_Scolaire_2026\src\SchoolManagement.Desktop\Services\SessionPermissions.cs
PASS | Lot1 — PaymentsController sans AdminFull | grep
PASS | Lot1 — FinanceController sans AdminFull | grep
PASS | Lot1 — PaymentMutationPolicy sans IsAdministrator | grep
PASS | Lot1 — Desktop finance sans IsAdministrator | grep périmètre Lot 1
PASS | Lot1 — Permissions.All contient payments.cancel | payments.cancel
PASS | Lot1 — Permissions.All contient payments.notes.update | payments.notes.update
PASS | Lot1 — Permissions.All contient payments.paid-mutation | payments.paid-mutation
PASS | Lot1 — Permissions.All contient pricing-categories.assign | pricing-categories.assign
PASS | Lot2 — PersonnelController sans AdminFull | grep
PASS | Lot2 — routes teachers policy TeachersManage | grep
PASS | Lot2 — SettingsViewModel teachers via TeachersManage | SessionPermissions
PASS | Lot2 — Permissions.All contient personnel.read | personnel.read
PASS | Lot2 — Permissions.All contient personnel.manage | personnel.manage
PASS | Lot2 — Permissions.All contient teachers.manage | teachers.manage
PASS | Lot3 — GeographyAdminController sans AdminFull | grep
PASS | Lot3 — CloudSyncController sans AdminFull | grep
PASS | Lot3 — UpdateController sans AdminFull | grep
PASS | Lot3 — ParentActivationIssueController sans AdminFull | grep
PASS | Lot3 — GeographyController GET schools.read | policy lecture
PASS | Lot3 — Permissions.All contient geography.manage | geography.manage
PASS | Lot3 — Permissions.All contient cloud-sync.manage | cloud-sync.manage
PASS | Lot3 — Permissions.All contient updates.manage | updates.manage
PASS | Lot3 — Permissions.All contient parent-activation.manage | parent-activation.manage
PASS | Lot4 — PedagogicalPeriodsController sans AdminFull | grep
PASS | Lot4 — PedagogicalPeriodsController active grades.read | policy lecture
PASS | Lot4 — PedagogicalPeriodService sans EnsureAdministrator/IsAdministrator | grep
